id,buildings,type,level,patterns,time
1,午门,宫门,外朝官署政务区,三交六椀菱花,1
2,太和殿,正殿,外朝官署政务区,三交六椀菱花,1
3,太和殿,耳房,外朝官署政务区,双交四椀菱花,2
4,太和殿,庑房,外朝官署政务区,双交四椀菱花,4
5,太和殿,庑房,外朝官署政务区,斜方格,2
6,中和殿,正殿,外朝官署政务区,三交六椀菱花,1
7,保和殿,正殿,外朝官署政务区,三交六椀菱花,1
8,协和门,庑房,外朝官署政务区,双交四椀菱花,2
9,熙和门,庑房,外朝官署政务区,双交四椀菱花,2
10,体仁阁,正殿,外朝官署政务区,一马三箭,1
11,体仁阁,正殿,外朝官署政务区,正方格,1
12,体仁阁,正殿,外朝官署政务区,斜方格,1
13,弘义阁,正殿,外朝官署政务区,一马三箭,1
14,弘义阁,正殿,外朝官署政务区,正方格,1
15,弘义阁,正殿,外朝官署政务区,斜方格,1
16,文华殿,正殿,外朝官署政务区,三交六椀菱花,1
17,文华殿,后殿,外朝官署政务区,三交六椀菱花,1
18,文华殿,配殿,外朝官署政务区,三交六椀菱花,2
19,文渊阁,正殿,外朝官署政务区,三交六椀菱花,1
20,武英殿,正殿,外朝官署政务区,三交六椀菱花,1
21,武英殿,后殿,外朝官署政务区,三交六椀菱花,1
22,武英殿,配殿,外朝官署政务区,三交六椀菱花,2
14,乾清门,宫门,内廷帝后生活区,正方格,1
15,乾清门,庑房,内廷帝后生活区,正方格,2
24,乾清宫,正殿,内廷帝后生活区,三交六椀菱花,1
25,乾清宫,配殿,内廷帝后生活区,双交四椀菱花,2
26,交泰殿,正殿,内廷帝后生活区,三交六椀菱花,1
27,坤宁门,宫门,内廷帝后生活区,步步锦,1
28,坤宁门,宫门,内廷帝后生活区,斜方格,1
29,坤宁门,宫门,内廷帝后生活区,正方格,1
28,坤宁宫,正殿,内廷帝后生活区,双交四椀菱花,1
29,坤宁宫,配殿,内廷帝后生活区,双交四椀菱花,2
30,养心殿,正殿,内廷帝后生活区,轱辘钱,1
31,养心殿,后殿,内廷帝后生活区,步步锦,1
32,养心殿,配殿,内廷帝后生活区,正方格,2
33,养心殿,耳房,内廷帝后生活区,玻璃心屉,2
34,养心殿,庑房,内廷帝后生活区,玻璃心屉,2
35,养心殿,庑房,内廷帝后生活区,正方格,1
36,养心殿,庑房,内廷帝后生活区,步步锦,1
35,斋宫,正殿,内廷帝后生活区,步步锦,1
36,斋宫,后殿,内廷帝后生活区,步步锦,1
37,斋宫,配殿,内廷帝后生活区,步步锦,2
38,斋宫,耳房,内廷帝后生活区,步步锦,1
39,景仁宫,正殿,后宫嫔妃生活区,双交四椀菱花,
40,景仁宫,后殿,后宫嫔妃生活区,双交四椀菱花,
41,景仁宫,配殿,后宫嫔妃生活区,正方格，步步锦,
42,景仁宫,耳房,后宫嫔妃生活区,一马三箭,
43,钟粹宫,正殿,后宫嫔妃生活区,玻璃心屉，步步锦,
44,钟粹宫,后殿,后宫嫔妃生活区,步步锦,
45,钟粹宫,配殿,后宫嫔妃生活区,玻璃心屉，冰裂纹,
46,承乾宫,正殿,后宫嫔妃生活区,双交四椀菱花,
47,承乾宫,后殿,后宫嫔妃生活区,双交四椀菱花,
48,承乾宫,配殿,后宫嫔妃生活区,正方格,
49,承乾宫,耳房,后宫嫔妃生活区,一马三箭,
50,景阳宫,正殿,后宫嫔妃生活区,斜方格，正方格,
51,景阳宫,后殿,后宫嫔妃生活区,套方式，拐字纹,
52,景阳宫,配殿,后宫嫔妃生活区,套方式，一马三箭,
53,永和宫,正殿,后宫嫔妃生活区,玻璃心屉,
54,永和宫,后殿,后宫嫔妃生活区,玻璃心屉,
55,永和宫,配殿,后宫嫔妃生活区,玻璃心屉,
56,永和宫,耳房,后宫嫔妃生活区,玻璃心屉，步步锦,
57,延禧宫,正殿,后宫嫔妃生活区,双交四椀菱花,
58,延禧宫,配殿,后宫嫔妃生活区,步步锦,
59,翊坤宫,正殿,后宫嫔妃生活区,玻璃心屉,
60,翊坤宫,后殿,后宫嫔妃生活区,玻璃心屉,
61,翊坤宫,配殿,后宫嫔妃生活区,玻璃心屉,
62,翊坤宫,耳房,后宫嫔妃生活区,步步锦,
63,储秀宫,正殿,后宫嫔妃生活区,玻璃心屉,
64,储秀宫,后殿,后宫嫔妃生活区,玻璃心屉,
65,储秀宫,配殿,后宫嫔妃生活区,玻璃心屉,
66,永寿宫,正殿,后宫嫔妃生活区,双交四椀菱花,
67,永寿宫,后殿,后宫嫔妃生活区,步步锦,
68,永寿宫,配殿,后宫嫔妃生活区,一马三箭,
69,长春宫,正殿,后宫嫔妃生活区,玻璃心屉,
70,长春宫,后殿,后宫嫔妃生活区,玻璃心屉,
71,长春宫,配殿,后宫嫔妃生活区,玻璃心屉，步步锦,
72,长春宫,耳房,后宫嫔妃生活区,步步锦,
73,咸福宫,正殿,后宫嫔妃生活区,双交四椀菱花,
74,咸福宫,后殿,后宫嫔妃生活区,步步锦,
75,咸福宫,配殿,后宫嫔妃生活区,斜方格,
76,咸福宫,耳房,后宫嫔妃生活区,步步锦,
77,启祥宫,正殿,后宫嫔妃生活区,玻璃心屉,
78,启祥宫,后殿,后宫嫔妃生活区,玻璃心屉,
79,启祥宫,配殿,后宫嫔妃生活区,玻璃心屉,
80,启祥宫,耳房,后宫嫔妃生活区,步步锦,
81,慈宁宫,正殿,内廷帝后生活区,双交四椀菱花,1
82,慈宁宫,后殿,内廷帝后生活区,双交四椀菱花,1
83,慈宁宫 ,配殿,内廷帝后生活区,斜方格,2
84,慈宁宫,庑房,内廷帝后生活区,斜方格,6
85,寿康宫,正殿,内廷帝后生活区,三交六椀菱花,1
86,寿康宫,后殿,内廷帝后生活区,步步锦,1
87,寿康宫,配殿,内廷帝后生活区,一马三箭,2
88,寿康宫,庑房,内廷帝后生活区,一马三箭,2
89,寿康宫,庑房,内廷帝后生活区,步步锦,1
89,寿安宫,正殿,内廷帝后生活区,双交四椀菱花,1
90,寿安宫,配殿,内廷帝后生活区,步步锦,2
91,临溪亭,正殿,御苑游赏休闲区,斜方格,
92,临溪亭,配殿,御苑游赏休闲区,三交六椀菱花,
93,皇极殿,正殿,内廷帝后生活区,三交六椀菱花,1
94,宁寿宫,正殿,内廷帝后生活区,双交四椀菱花,1
95,宁寿宫,庑房,内廷帝后生活区,双交四椀菱花,2
96,宁寿宫,庑房,内廷帝后生活区,步步锦,8
96,倦勤斋,后殿,御苑游赏休闲区,步步锦,
97,萃赏楼,正殿,御苑游赏休闲区,步步锦,
98,符望阁,正殿,御苑游赏休闲区,步步锦,
99,阅是楼,正殿,御苑游赏休闲区,玻璃心屉，步步锦,
100,养性殿,正殿,御苑游赏休闲区,玻璃心屉,
101,养性殿,配殿,御苑游赏休闲区,正方格,
102,养性殿,耳房,御苑游赏休闲区,步步锦,
103,万春亭,正殿,御苑游赏休闲区,三交六椀菱花，正方格,
104,千秋亭,正殿,御苑游赏休闲区,三交六椀菱花，正方格,
105,绛雪轩,正殿,御苑游赏休闲区,万字纹,
106,钦安殿,正殿,御苑游赏休闲区,三交六椀菱花,
107,钦安殿,配殿,御苑游赏休闲区,斜方格,
108,养性斋,正殿,御苑游赏休闲区,冰裂纹，步步锦,
109,延晖阁,正殿,御苑游赏休闲区,灯笼框,
110,位育斋,正殿,御苑游赏休闲区,步步锦,
