label,area,architecture,pattern
12,外朝中路（礼制核心区）,太和殿,"云盘线——如意纹,雕刻裙板（龙）"
13,外朝中路（礼制核心区）,中和殿,云盘线——如意纹
14,外朝中路（礼制核心区）,保和殿,云盘线——如意纹
15,外朝中路（礼制核心区）,协和门,云盘线——如意纹
17,外朝中路（礼制核心区）,熙和门,云盘线——如意纹
21,外朝两翼,文华殿,云盘线——如意纹
22,外朝两翼,武英殿,"云盘线——如意纹,夔纹"
23,外朝两翼,文渊阁,云盘线——如意纹
31,内廷后三宫,乾清宫,雕刻裙板（龙）
32,内廷后三宫,交泰殿,雕刻裙板（龙）
33,内廷后三宫,坤宁宫,云盘线——如意纹
34,内廷后三宫,养心殿,云盘线——如意纹
35,内廷后三宫,斋宫,"云盘线——回字纹,夔纹"
36,内廷后三宫,坤宁门,云盘线——如意纹
41,内廷东六宫（妃嫔居所）,景仁宫,云盘线——如意纹
42,内廷东六宫（妃嫔居所）,钟粹宫,"云盘线——回字纹,雕刻裙板（竹）"
43,内廷东六宫（妃嫔居所）,承乾宫,云盘线——如意纹
44,内廷东六宫（妃嫔居所）,景阳宫,云盘线——如意纹
45,内廷东六宫（妃嫔居所）,永和宫,云盘线——如意纹
51,内廷西六宫（妃嫔居所）,翊坤宫,"万字锦底五福捧寿,夔纹"
52,内廷西六宫（妃嫔居所）,储秀宫,万字锦底五福捧寿
53,内廷西六宫（妃嫔居所）,永寿宫,"云盘线——如意纹,夔龙团"
54,内廷西六宫（妃嫔居所）,长春宫,"雕刻裙板（竹）,夔纹"
55,内廷西六宫（妃嫔居所）,咸福宫,"云盘线——回字纹,夔纹"
56,内廷西六宫（妃嫔居所）,启祥宫,万字锦底五福捧寿
61,太后 / 太妃宫区,慈宁宫,云盘线——如意纹
62,太后 / 太妃宫区,寿康宫,"云盘线——如意纹,夔纹"
71,宁寿宫区（乾隆太上皇宫殿区）,皇极殿,雕刻裙板（龙）
72,宁寿宫区（乾隆太上皇宫殿区）,宁寿宫,云盘线——如意纹
73,宁寿宫区（乾隆太上皇宫殿区）,倦勤斋,夔龙团
74,宁寿宫区（乾隆太上皇宫殿区）,萃赏楼,夔龙团
76,宁寿宫区（乾隆太上皇宫殿区）,阅是楼,"夔龙团,雕刻裙板（竹）"
77,宁寿宫区（乾隆太上皇宫殿区）,养性殿,"云盘线——如意纹,夔龙团"
80,御花园及园林建筑,万春亭,云盘线——如意纹
81,御花园及园林建筑,千秋亭,云盘线——如意纹
83,御花园及园林建筑,钦安殿,云盘线——如意纹
84,御花园及园林建筑,养性斋,云盘线——如意纹
85,御花园及园林建筑,位育斋,云盘线——如意纹
86,御花园及园林建筑,延晖阁,云盘线——回字纹
